Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
21125,2,225,Petrol,97,1,0,1400,5,1110
22950,6,10000,Diesel,116,1,0,2000,5,1270
18500,7,2000,Petrol,110,0,0,1600,5,1075
19500,12,13634,Petrol,110,1,0,1600,5,1115
18500,13,18000,Petrol,71,0,0,1400,3,1125
17950,20,66966,Diesel,90,1,0,2000,3,1245
15750,22,35199,Petrol,97,1,0,1400,3,1100
19950,50,102030,Petrol,97,1,0,1400,5,1060
17895,52,47689,Petrol,110,0,0,1600,5,1075
8450,70,89983,Petrol,110,0,0,1600,3,1055
6650,78,123104,Petrol,110,1,0,1600,5,1070
8050,80,34000,Petrol,86,1,0,1300,4,1000
